Customer_ID,Customer_Name,Last_Purchase,Frequency,Monetary,Profit,Recency,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,AOV
SM-20320,Sean Miller,2017-10-12,5,25043.05,-1980.7393,80,3,2,5,10,Potential Loyalists,5008.61
TC-20980,Tamara Chand,2016-11-26,5,19052.218,8981.323900000001,400,1,2,5,8,At Risk - High Value,3810.4436
RB-19360,Raymond Buch,2017-09-25,6,15117.339,6976.0959,97,3,3,5,11,Potential Loyalists,2519.5565
TA-21385,Tom Ashbrook,2017-10-22,4,14595.62,4703.7883,70,3,2,5,10,Potential Loyalists,3648.905
AB-10105,Adrian Barton,2017-11-19,10,14473.570999999998,5444.8055,42,4,5,5,14,Champions,1447.3570999999997
KL-16645,Ken Lonsdale,2017-11-13,12,14175.229000000001,806.855,48,4,5,5,14,Champions,1181.2690833333334
SC-20095,Sanjit Chand,2017-01-15,9,14142.333999999999,5757.411899999999,350,1,5,5,11,Loyal Customers,1571.3704444444443
HL-15040,Hunter Lopez,2017-11-17,6,12873.297999999999,5622.4292000000005,44,4,3,5,12,Recent Customers,2145.5496666666663
SE-20110,Sanjit Engle,2017-12-21,11,12209.438000000002,2650.6769,10,5,5,5,15,Champions,1109.9489090909092
CC-12370,Christopher Conant,2017-11-17,5,12129.072000000002,2177.0493,44,4,2,5,11,Recent Customers,2425.8144
TS-21370,Todd Sumrall,2017-11-24,6,11891.751,2371.7144000000003,37,4,3,5,12,Recent Customers,1981.9585
GT-14710,Greg Tran,2017-11-24,11,11820.119999999999,2163.4269,37,4,5,5,14,Champions,1074.5563636363636
BM-11140,Becky Martin,2017-02-26,4,11789.63,-1659.9580999999998,308,1,1,5,7,At Risk - High Value,2947.4075
SV-20365,Seth Vernon,2017-09-20,10,11470.949999999999,1199.4242,102,3,5,5,13,Loyal Customers,1147.0949999999998
CJ-12010,Caroline Jumper,2017-06-24,8,11164.974,858.7414,190,2,4,5,11,Loyal Customers,1395.62175
CL-12565,Clay Ludtke,2017-03-21,12,10880.546,1933.7830999999999,285,1,5,5,11,Loyal Customers,906.7121666666667
ME-17320,Maria Etezadi,2017-11-18,10,10663.728000000001,1859.4695,43,4,5,5,14,Champions,1066.3728
KF-16285,Karen Ferguson,2017-09-24,7,10604.266,1660.1386,98,3,4,5,12,Loyal Customers,1514.895142857143
BS-11365,Bill Shonely,2016-06-20,5,10501.653,2616.0643999999998,559,1,2,5,8,At Risk - High Value,2100.3306000000002
EH-13765,Edward Hooks,2017-08-17,12,10310.880000000001,1393.5154,136,2,5,5,12,Loyal Customers,859.2400000000001
JL-15835,John Lee,2017-12-09,11,9799.923,228.907,22,5,5,5,15,Champions,890.9020909090909
GT-14635,Grant Thornton,2017-11-04,3,9351.212,-4108.6589,57,3,1,5,9,Potential Loyalists,3117.0706666666665
HW-14935,Helen Wasserman,2017-09-04,8,9300.254,2164.1611,118,2,4,5,11,Loyal Customers,1162.53175
TB-21400,Tom Boeckenhauer,2017-06-11,7,9133.99,2798.3689,203,2,4,5,11,Loyal Customers,1304.8557142857142
PF-19120,Peter Fuller,2015-09-17,4,9062.864,-614.2943000000001,836,1,2,5,8,At Risk - High Value,2265.716
CM-12385,Christopher Martinez,2017-11-23,4,8954.019999999999,3899.8903999999998,38,4,1,5,10,Recent Customers,2238.5049999999997
JD-16150,Justin Deggeller,2017-11-19,8,8828.0305,1619.5199,42,4,4,5,13,Champions,1103.5038125
JE-15715,Joe Elijah,2017-11-14,10,8697.842999999999,1262.2926,47,4,5,5,14,Champions,869.7842999999999
LA-16780,Laura Armstrong,2017-07-29,11,8673.222,2059.1199,155,2,5,5,12,Loyal Customers,788.4747272727273
PK-19075,Pete Kriz,2017-12-21,12,8646.934,2038.2676000000001,10,5,5,5,15,Champions,720.5778333333333
